ORANGE=Needs to appear in Anime     CYAN=Re-color that needs to appear in Anime
D#,English Name,Level,Group,Type,Size,English Technique
1,Koromon,I-T,Micro,-,10.0,Bubble Blow
2,Tsunomon,I-T,Micro,-,10.0,Bubble Blow
3,Yokomon,I-T,Micro,-,4.0,Bubble Blow
4,Motimon,I-T,Micro,-,8.0,Bubble Blow
5,Tanemon,I-T,Micro,-,10.0,Bubble Blow
6,Bukamon,I-T,Micro,-,7.0,Bubble Blow
7,Tokomon,I-T,Micro,-,10.0,Bubble Blow
8,Agumon,R,Reptile,Vaccine,20.0,Pepper Breathe
9,Gabumon,R,Reptile,Data,20.0,Blue Blaster
10,Biyomon,R,Bird,Vaccine,15.0,Spiral Twister
11,Tentomon,R,Insectoid,Vaccine,15.0,Super Shocker
12,Palmon,R,Vegetation,Data,15.0,Poison Ivy
13,Gomamon,R,Sea Animal,Vaccine,15.0,Marching Fishes
14,Patamon,R,Mammel,Data,20.0,Boom Bubble
15,Kuwagamon,C,Insectoid,Virus,20.0,Scissor Claw
16,Greymon,C,Dinosaur,Vaccine,30.0,Nova Blast
17,Shellmon,C,Sea Animal,Data,30.0,Hydro Blaster
18,Garurumon,C,Animal,Vaccine,20.0,Howling Blaster
19,Seadramon,C,Sea Animal,Data,20.0,Ice Blast
20,Monochromon,C,Dinosaur,Data,30.0,Volcanic Strike
21,Birdramon,C,Bird,Vaccine,30.0,Meteor Wing
22,Meramon,C,Fire,Data,18.0,Fireball
23,Kabuterimon,C,Insectoid,Vaccine,30.0,Electro Shocker
24,Andromon,U,Android,Vaccine,25.0,Lightning Blade
25,Togemon,C,Vegetation,Data,20.0,Needle Spray
26,Numemon,C,Mollusk,Virus,10.0,Party Time
27,Monzaemon,U,Puppet,Vaccine,40.0,Hearts Attack
28,Ikkakumon,C,Sea Animal,Vaccine,25.0,Harpoon Torpedo
29,Unimon,C,Mythical Animal,Vaccine,30.0,Aerial Attack
30,Leomon,C,Animal,Vaccine,20.0,Fist Of The Beast King
31,Ogremon,C,Evil,Virus,20.0,Pummel Whack
32,Devimon,C,Evil,Virus,15.0,Touch Of Evil
33,Frigimon,C,Icy,Vaccine,30.0,Subzero Ice Punch
34,Mojyamon,C,Rare Animal,Vaccine,20.0,Ice Cloud
35,Sukamon,C,Mutant,Virus,10.0,Bomber
36,Centarumon,C,Animal,Data,20.0,Solar Ray
37,Bakemon,C,Ghost,Virus,30.0,Dark Claw
38,Elecmon,R,Mammel,Data,20.0,Super Thunder Strike
39,Botamon,I-T,Micro,-,5.0,Bubble Blow
40,Punimon,I-T,Micro,-,5.0,Bubble Blow
41,Poyomon,I-T,Micro,-,5.0,Bubble Blow
42,Yuramon,I-T,Micro,-,5.0,Bubble Blow
43,Angemon,C,Angel,Vaccine,20.0,Hand Of Fate
44,Whamon,C,Sea Animal,Vaccine,40.0,Blasting Spout
45,Drimogemon,C,Animal,Data,40.0,Iron Drill Spin & Crusher Bone
46,Etemon,U,Puppet,Virus,20.0,Dark Network & Concert Crush
47,Gazimon,R,Mammel,Virus,15.0,Electric Stun Blast
48,Pagumon,I-N,Micro,-,8.0,Bubble Blow
49,Skullgreymon,U,Skelton,Virus,40.0,Dark Shot
50,Kokatorimon,U,Skelton,Virus,40.0,Dark Shot
51,Tyrannomon,C,Dinosaur,Data,20.0,Blaze Blast
52,Piximon,U,Pixie,Data,5.0,Pit Bomb
53,Datamon,U,Machine,Virus,5.0,Digital Bomb
54,Metalgreymon,U,Android,Vaccine,40.0,Giga Blaster
55,Demidevimon,R,Evil,Virus,8.0,Demi Dart
56,Weregarurumon,U,Animal,Vaccine,18.0,Wolf Claw
57,Digitamamon,U,Perfect,Data,10.0,Nightmare Syndromer
58,Vegiemon,C,Vegetation,Virus,10.0,Compost Bomber
59,Myotismon,U,Ghost,Virus,18.0,Grisly Wing
60,Vademon,U,Alien,Virus,20.0,Unidentified Flying Kiss
61,Pabumon,I-T,Micro,-,5.0,Bubble Blow
62,Gekomon,C,Amphibian,Virus,15.0,Symphony Crusher
63,Otamamon,R,Amphibian,Virus,10.0,Stun Bubble
64,Shogungekomon,U,Amphibian,Virus,20.0,Musical Fist
65,Garudamon,U,Bird,Vaccine,25.0,Wing Blade
66,Flymon,C,Insectiod,Virus,20.0,Brown Stinger
67,Gatomon,C,Animal,Vaccine,10.0,Lightning Claw
68,Nanimon,C,Invader,Virus,10.0,Power Punch
69,Devidramon,C,Dark Dragon,Virus,30.0,Crimson Claw
70,Dokugumon,C,Insectiod,Virus,30.0,Poison Thread
71,Mammothmon,U,Anicent Animal,Vaccine,40.0,Tusk Crusher
72,Gesomon,C,Mollusk,Virus,30.0,Coral Crusher
73,Raremon,C,Ghost,Virus,20.0,Breathe Of Decay
74,Skullmeramon,U,Fire,Data,20.0,Metal Fireball
75,Wizardmon,C,Wizard,Data,15.0,Thunder Ball
76,Pumpkinmon,U,Puppet,Data,20.0,Trick Or Treat
77,Gotsumon,R,Rock,Data,20.0,Rock Fist
78,Lillymon,U,Pixie,Data,16.0,Flower Cannon
79,Phantomon,U,Ghost,Virus,15.0,Shadow Scythe
80,Darktyrannomon,C,Dinosaur,Virus,40.0,Fire Blast
81,Gizamon,R,Mammel,Data,15.0,Spiral Saw
82,Zudomon,U,Sea Animal,Vaccine,35.0,Vulcan's Hammer
83,Megaseadramon,U,Sea Animal,Data,25.0,Lightning Javelin
84,Angewomon,U,Angel,Vaccine,20.0,Celestail Arrow
85,Tuskmon,C,Dinosaur,Virus,40.0,Slamming Tusk
86,Snimon,C,Insectoid,Vaccine,30.0,Twin Snickles
87,Megakabuterimon,U,Insectoid,Vaccine,30.0,Horn Buster
88,Magnaangemon,U,Angel,Vaccine,24.0,Gate Of Destiny
89,Venommyotismon,M,Evil,Virus,38.0,Venom Infusion
90,Wargreymon,M,Dragon,Vaccine,20.0,Terra Force
91,Metalgarurumon,M,Android,Vaccine,28.0,Metal Wolf Claw
